date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-05-07,188.0,0.0,0.0,252.0,230.0,252.0,64.0,58562100.0,14733866400.0,10418.0,134.0,0.0,0.0,252.0,95903200.0,1375000000.0,275000000.0,275000000.0,68000.0,135000.0,,11000.0,2740000.0,11.0
2024-05-08,252.0,0.0,0.0,314.0,262.0,314.0,62.0,270925800.0,81470471400.0,43784.0,167.0,0.0,0.0,314.0,20725600.0,1375000000.0,275000000.0,275000000.0,1977500.0,3018100.0,,0.0,0.0,0.0
2024-05-13,314.0,0.0,0.0,390.0,266.0,358.0,44.0,159848900.0,56629272400.0,30840.0,190.4,358.0,39400.0,356.0,115200.0,1375000000.0,275000000.0,275000000.0,5204400.0,3532400.0,,1000.0,364000.0,1.0
2024-05-14,358.0,0.0,0.0,430.0,352.0,410.0,52.0,163680300.0,65446894600.0,28053.0,218.1,412.0,200100.0,410.0,545200.0,1375000000.0,275000000.0,275000000.0,3941400.0,3493500.0,,1000.0,416000.0,1.0
2024-05-15,410.0,0.0,0.0,458.0,410.0,436.0,26.0,105728700.0,46175683400.0,20947.0,231.9,438.0,211100.0,436.0,3352200.0,1375000000.0,275000000.0,275000000.0,505000.0,575400.0,,2000.0,912000.0,1.0
2024-05-16,436.0,0.0,0.0,442.0,328.0,376.0,-60.0,141586700.0,53588140400.0,27421.0,200.0,376.0,674100.0,374.0,114200.0,1375000000.0,275000000.0,275000000.0,1107400.0,1001200.0,,0.0,0.0,0.0
2024-05-17,376.0,0.0,0.0,404.0,330.0,330.0,-46.0,35010600.0,12782756800.0,8544.0,175.5,332.0,2100.0,330.0,383300.0,1375000000.0,275000000.0,275000000.0,145500.0,138300.0,,0.0,0.0,0.0
2024-05-20,330.0,0.0,0.0,346.0,302.0,302.0,-28.0,34626700.0,11024522200.0,8910.0,160.6,304.0,143500.0,302.0,259000.0,1375000000.0,275000000.0,275000000.0,1488900.0,880700.0,,0.0,0.0,0.0
2024-05-21,302.0,0.0,0.0,342.0,260.0,322.0,20.0,49805400.0,15224462000.0,10226.0,171.3,324.0,105000.0,322.0,1110700.0,1375000000.0,275000000.0,275000000.0,1983000.0,2020000.0,,0.0,0.0,0.0
2024-05-22,322.0,0.0,0.0,330.0,294.0,294.0,-28.0,20696200.0,6357793800.0,4598.0,156.4,296.0,50200.0,294.0,430800.0,1375000000.0,275000000.0,275000000.0,652900.0,580800.0,,0.0,0.0,0.0
2024-05-27,294.0,0.0,0.0,314.0,270.0,282.0,-12.0,13417900.0,3945017400.0,2981.0,150.0,284.0,13700.0,282.0,274600.0,1375000000.0,275000000.0,275000000.0,57500.0,52900.0,,0.0,0.0,0.0
2024-05-28,282.0,0.0,0.0,346.0,258.0,340.0,58.0,51468900.0,16620576200.0,9676.0,180.9,342.0,127500.0,340.0,201300.0,1375000000.0,275000000.0,275000000.0,53500.0,91000.0,,0.0,0.0,0.0
2024-05-29,340.0,0.0,0.0,362.0,314.0,328.0,-12.0,22977600.0,7701384000.0,5109.0,174.5,330.0,88400.0,328.0,61900.0,1375000000.0,275000000.0,275000000.0,97600.0,15800.0,,0.0,0.0,0.0
2024-05-30,328.0,0.0,0.0,368.0,318.0,338.0,10.0,35239800.0,12061522200.0,5980.0,179.8,338.0,9600.0,336.0,50200.0,1375000000.0,275000000.0,275000000.0,25600.0,95000.0,,0.0,0.0,0.0
2024-05-31,338.0,0.0,0.0,342.0,304.0,310.0,-28.0,22171500.0,7117809800.0,3857.0,164.9,312.0,17200.0,310.0,349900.0,1375000000.0,275000000.0,275000000.0,54900.0,47600.0,,0.0,0.0,0.0
2024-06-03,310.0,0.0,0.0,324.0,294.0,310.0,0.0,6496100.0,2033170000.0,1639.0,164.9,312.0,22300.0,310.0,322400.0,1375000000.0,275000000.0,275000000.0,63800.0,32100.0,,0.0,0.0,0.0
2024-06-04,310.0,0.0,0.0,316.0,306.0,308.0,-2.0,4001400.0,1238294600.0,1056.0,163.8,308.0,53500.0,306.0,279900.0,1375000000.0,275000000.0,275000000.0,18900.0,68500.0,,0.0,0.0,0.0
2024-06-05,308.0,0.0,0.0,328.0,302.0,314.0,6.0,7874000.0,2486861000.0,1944.0,167.0,314.0,184500.0,312.0,39900.0,1375000000.0,275000000.0,275000000.0,5200.0,30600.0,,0.0,0.0,0.0
2024-06-06,314.0,0.0,0.0,322.0,302.0,306.0,-8.0,5515800.0,1719670200.0,1157.0,162.8,306.0,28000.0,304.0,155500.0,1375000000.0,275000000.0,275000000.0,35600.0,11000.0,,0.0,0.0,0.0
