date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-10-11,128.0,0.0,0.0,172.0,135.0,170.0,42.0,883830600.0,142394497600.0,70048.0,132.8,170.0,269800.0,169.0,315500.0,2861333000.0,715333000.0,715333000.0,22529200.0,42704500.0,,745800.0,95462400.0,1.0
2023-10-12,170.0,0.0,0.0,174.0,141.0,142.0,-28.0,225949400.0,34473598100.0,18526.0,110.9,143.0,5300.0,142.0,691400.0,2861333000.0,715333000.0,715333000.0,348700.0,1775500.0,,0.0,0.0,0.0
2023-10-13,142.0,0.0,0.0,155.0,140.0,144.0,2.0,112370500.0,16562363900.0,9085.0,112.5,144.0,89300.0,143.0,777300.0,2861333000.0,715333000.0,715333000.0,100000.0,779200.0,,0.0,0.0,0.0
2023-10-16,144.0,0.0,0.0,147.0,101.0,107.0,-37.0,242089200.0,29178032400.0,15213.0,83.6,108.0,61100.0,107.0,1149200.0,2861333000.0,715333000.0,715333000.0,440200.0,1899600.0,,0.0,0.0,0.0
2023-10-17,107.0,0.0,0.0,129.0,106.0,112.0,5.0,418033400.0,48940519000.0,22305.0,87.5,113.0,82100.0,112.0,206900.0,2861333000.0,715333000.0,715333000.0,6750200.0,23314700.0,,0.0,0.0,0.0
2023-10-18,112.0,0.0,0.0,119.0,106.0,114.0,2.0,173254100.0,19645569700.0,8851.0,89.1,114.0,412100.0,113.0,145800.0,2861333000.0,715333000.0,715333000.0,812300.0,13044900.0,,2250000.0,336000000.0,2.0
2023-10-19,114.0,0.0,0.0,118.0,98.0,107.0,-7.0,80414600.0,8908032600.0,4838.0,83.6,107.0,30200.0,106.0,611500.0,2861333000.0,715333000.0,715333000.0,206900.0,223200.0,,0.0,0.0,0.0
2023-10-20,107.0,0.0,0.0,110.0,99.0,102.0,-5.0,145521200.0,15098254700.0,5389.0,79.7,103.0,509200.0,102.0,683200.0,2861333000.0,715333000.0,715333000.0,1146400.0,225700.0,,0.0,0.0,0.0
2023-10-23,102.0,0.0,0.0,107.0,71.0,97.0,-5.0,138190300.0,13616581200.0,5153.0,75.8,98.0,218300.0,97.0,268700.0,2861333000.0,715333000.0,715333000.0,603200.0,1567600.0,,0.0,0.0,0.0
2023-10-24,97.0,0.0,0.0,105.0,96.0,98.0,1.0,121650600.0,12035864900.0,5316.0,76.6,99.0,650700.0,98.0,521000.0,2861333000.0,715333000.0,715333000.0,144400.0,158200.0,,500.0,52500.0,1.0
2023-10-25,98.0,0.0,0.0,103.0,93.0,95.0,-3.0,119540600.0,11580671200.0,3939.0,74.2,96.0,141600.0,95.0,195700.0,2861333000.0,715333000.0,715333000.0,248200.0,256500.0,,1250000.0,185000000.0,1.0
2023-10-26,95.0,0.0,0.0,99.0,87.0,89.0,-6.0,123727000.0,11488483700.0,4310.0,69.5,90.0,161700.0,89.0,287300.0,2861333000.0,715333000.0,715333000.0,222300.0,640400.0,,0.0,0.0,0.0
2023-10-27,89.0,0.0,0.0,93.0,77.0,81.0,-8.0,137063200.0,11741859000.0,4860.0,63.3,82.0,150100.0,81.0,361200.0,2861333000.0,715333000.0,715333000.0,216700.0,629000.0,,0.0,0.0,0.0
